repository,stars,language,license,tier,file,bytes,lines,headings,code_blocks,build_commands,test_commands,code_style,architecture,prohibitions,emphatic,pr_conventions,security,dir_map,file_refs,agent_addressed,examples
simstudioai/sim,29259,TypeScript,apache-2.0,full,AGENTS.md,28204,477,35,16,1,1,1,1,1,1,0,0,1,0,1,1
simstudioai/sim,29259,TypeScript,apache-2.0,full,CLAUDE.md,30271,487,36,16,1,1,1,1,1,1,0,0,1,0,1,1
labring/FastGPT,29222,TypeScript,apache-2.0,full,AGENTS.md,9074,179,25,1,0,1,0,0,0,0,0,0,0,1,0,0
nrwl/nx,29169,TypeScript,mit,full,AGENTS.md,9139,235,33,7,1,0,1,0,1,1,1,0,0,0,1,1
nrwl/nx,29169,TypeScript,mit,full,CLAUDE.md,9094,229,32,6,1,0,1,0,1,1,1,0,0,0,1,1
pmndrs/react-spring,29128,TypeScript,mit,full,CLAUDE.md,11199,126,9,2,0,1,1,1,1,0,0,0,1,1,1,1
MadsLorentzen/ai-job-search,29101,TypeScript,mit,full,AGENTS.md,1586,20,2,0,0,0,0,0,1,0,0,0,0,1,0,0
MadsLorentzen/ai-job-search,29101,TypeScript,mit,full,CLAUDE.md,8242,139,23,0,0,0,0,1,1,0,0,0,0,0,1,0
GitbookIO/gitbook,28972,TypeScript,gpl-3.0,full,AGENTS.md,2388,82,8,6,1,1,1,1,0,0,0,0,1,0,0,0
GitbookIO/gitbook,28972,TypeScript,gpl-3.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chroma-core/chroma,28918,Rust,apache-2.0,full,AGENTS.md,129,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0
chroma-core/chroma,28918,Rust,apache-2.0,full,CLAUDE.md,2149,56,4,1,0,0,1,1,1,0,1,0,0,0,0,0
supermemoryai/supermemory,28726,TypeScript,mit,full,CLAUDE.md,3963,121,25,0,1,0,1,1,0,0,0,1,0,0,0,0
alibaba/page-agent,28343,TypeScript,mit,full,AGENTS.md,7169,152,18,4,1,1,0,1,1,0,0,0,1,0,0,0
alibaba/page-agent,28343,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BloopAI/vibe-kanban,27613,Rust,apache-2.0,full,AGENTS.md,3989,59,9,0,1,1,1,1,1,0,0,1,0,1,1,0
BloopAI/vibe-kanban,27613,Rust,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kestra-io/kestra,27525,Java,apache-2.0,full,AGENTS.md,16725,409,57,10,1,1,1,1,1,1,1,0,0,1,1,1
kestra-io/kestra,27525,Java,apache-2.0,full,CLAUDE.md,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
decolua/9router,24303,JavaScript,mit,full,CLAUDE.md,7861,92,10,3,0,1,1,1,1,1,0,1,0,0,0,0
letta-ai/letta,24048,Python,apache-2.0,full,AGENTS.md,1456,20,3,0,0,0,0,0,0,0,0,0,0,1,1,0
VoltAgent/awesome-claude-code-subagents,23925,Shell,mit,full,CLAUDE.md,2488,72,9,2,1,0,0,1,0,0,0,0,1,1,1,0
activepieces/activepieces,23540,TypeScript,mit,full,AGENTS.md,14943,164,14,3,0,1,1,1,1,1,0,1,0,0,0,1
activepieces/activepieces,23540,TypeScript,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donchitos/Claude-Code-Game-Studios,23529,Shell,mit,full,CLAUDE.md,1665,55,9,0,0,0,0,1,0,0,0,0,0,1,0,0
nocobase/nocobase,23519,TypeScript,apache-2.0,full,AGENTS.md,4237,49,9,0,0,1,1,1,1,0,1,0,0,0,0,0
nocobase/nocobase,23519,TypeScript,apache-2.0,full,CLAUDE.md,181,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
herdrdev/herdr,23298,Rust,apache-2.0,full,AGENTS.md,19838,252,17,6,0,0,1,0,1,0,1,0,0,0,0,1
herdrdev/herdr,23298,Rust,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micro/go-micro,22981,Go,apache-2.0,full,AGENTS.md,1680,40,2,0,0,1,0,0,1,0,0,0,0,0,0,0
micro/go-micro,22981,Go,apache-2.0,full,CLAUDE.md,8406,159,22,2,1,1,1,1,1,0,0,0,1,1,1,0
NVIDIA/NemoClaw,22013,TypeScript,apache-2.0,full,AGENTS.md,21326,337,28,2,0,1,1,1,1,0,1,1,0,1,0,1
NVIDIA/NemoClaw,22013,TypeScript,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vxcontrol/pentagi,21449,Go,mit,full,CLAUDE.md,7873,151,17,4,1,1,0,1,1,0,0,0,1,0,0,0
google/adk-python,20967,Python,apache-2.0,full,AGENTS.md,1420,29,5,0,1,0,1,1,0,0,0,0,0,0,0,0
kortix-ai/suna,20055,TypeScript,,metadata,AGENTS.md,797,17,17,0,0,0,1,1,0,0,1,0,0,0,1,0
kortix-ai/suna,20055,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
emcie-co/parlant,18221,Python,apache-2.0,full,CLAUDE.md,2772,41,0,0,0,1,0,0,0,0,0,0,0,0,1,0
RightNow-AI/openfang,18072,Rust,apache-2.0,full,AGENTS.md,192,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RightNow-AI/openfang,18072,Rust,apache-2.0,full,CLAUDE.md,4936,124,24,9,1,1,0,1,1,0,0,0,0,0,1,0
rowboatlabs/rowboat,16917,TypeScript,apache-2.0,full,CLAUDE.md,6973,166,20,5,1,0,0,1,0,0,0,0,1,0,0,0
nesquena/hermes-webui,16805,Python,mit,full,AGENTS.md,6692,127,6,1,0,1,1,0,1,0,1,1,0,1,1,1
triggerdotdev/trigger.dev,15834,TypeScript,apache-2.0,full,AGENTS.md,13013,276,38,11,1,1,1,1,1,0,1,0,0,0,0,1
triggerdotdev/trigger.dev,15834,TypeScript,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
triggerdotdev/trigger.dev,15834,TypeScript,apache-2.0,full,.github/copilot-instructions.md,622,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ag-ui-protocol/ag-ui,15088,Python,mit,full,AGENTS.md,1386,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ag-ui-protocol/ag-ui,15088,Python,mit,full,CLAUDE.md,4915,130,29,3,1,1,0,1,0,0,0,0,0,0,0,1
e2b-dev/E2B,13217,Python,apache-2.0,full,AGENTS.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e2b-dev/E2B,13217,Python,apache-2.0,full,CLAUDE.md,1228,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0
superset-sh/superset,12726,TypeScript,,metadata,AGENTS.md,325,13,13,0,0,0,0,1,0,0,0,0,0,0,0,0
superset-sh/superset,12726,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
InsForge/InsForge,12611,TypeScript,apache-2.0,full,.github/copilot-instructions.md,5608,147,17,0,0,0,1,1,1,0,0,1,0,0,0,1
XiaomiMiMo/MiMo-Code,12590,TypeScript,mit,full,AGENTS.md,4215,133,10,6,0,0,1,0,1,1,0,0,0,0,0,1
XiaomiMiMo/MiMo-Code,12590,TypeScript,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earthtojake/text-to-cad,12353,JavaScript,mit,full,AGENTS.md,11684,212,9,1,0,0,0,1,1,0,1,1,0,0,1,1
earthtojake/text-to-cad,12353,JavaScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cocoindex-io/cocoindex,11148,Rust,apache-2.0,full,AGENTS.md,19210,357,35,10,1,1,1,1,1,0,0,1,1,1,0,1
cocoindex-io/cocoindex,11148,Rust,apache-2.0,full,CLAUDE.md,24,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeffallan/claude-skills,10831,Python,mit,full,CLAUDE.md,11132,311,25,15,0,0,0,1,1,1,0,0,0,0,0,1
MemTensor/MemOS,10536,TypeScript,apache-2.0,full,AGENTS.md,10155,156,17,0,0,1,1,1,1,1,1,1,0,0,0,0
MemTensor/MemOS,10536,TypeScript,apache-2.0,full,CLAUDE.md,1200,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0
VoltAgent/voltagent,10245,TypeScript,mit,full,AGENTS.md,1519,38,6,1,0,1,0,1,1,1,0,0,0,1,1,0
VoltAgent/voltagent,10245,TypeScript,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudflare/moltworker,9933,TypeScript,apache-2.0,full,AGENTS.md,10177,262,30,9,1,1,1,1,1,0,0,1,1,0,0,1
unicity-sphere/sphere,9769,TypeScript,,metadata,CLAUDE.md,745,24,24,0,1,0,0,1,0,0,0,0,0,0,0,0
cobusgreyling/loop-engineering,9731,JavaScript,mit,full,AGENTS.md,1815,47,8,2,1,1,0,0,1,0,0,0,0,1,0,0
frankbria/ralph-claude-code,9573,Shell,mit,full,CLAUDE.md,38146,363,42,13,1,1,0,1,1,0,1,1,1,1,0,1
redmage123/course-creator,0,Python,mit,full,CLAUDE.md,17225,353,49,7,1,1,0,1,1,1,1,0,1,1,1,1
