repository,stars,language,license,tier,file,bytes,lines,headings,code_blocks,build_commands,test_commands,code_style,architecture,prohibitions,emphatic,pr_conventions,security,dir_map,file_refs,agent_addressed,examples
hiyouga/LlamaFactory,73663,Python,apache-2.0,full,.github/copilot-instructions.md,6059,181,24,4,1,1,1,1,0,0,0,0,0,0,0,0
thedaviddias/Front-End-Checklist,73378,MDX,,metadata,AGENTS.md,427,17,17,0,1,0,0,1,0,0,0,0,0,0,0,0
thedaviddias/Front-End-Checklist,73378,MDX,,metadata,CLAUDE.md,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
strapi/strapi,72760,TypeScript,mit,full,AGENTS.md,10769,250,27,15,1,1,1,1,1,0,1,1,0,1,0,0
strapi/strapi,72760,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
microsoft/ai-agents-for-beginners,70899,Jupyter Notebook,mit,full,AGENTS.md,10767,312,37,1,1,0,1,1,1,0,1,1,1,1,0,0
ansible/ansible,70059,Python,gpl-3.0,full,AGENTS.md,7209,173,20,6,1,0,0,0,1,1,1,0,0,1,0,0
ansible/ansible,70059,Python,gpl-3.0,full,CLAUDE.md,56,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
code-yeongyu/oh-my-openagent,66989,TypeScript,,metadata,AGENTS.md,898,25,25,0,1,0,1,1,0,1,1,0,0,0,0,0
code-yeongyu/oh-my-openagent,66989,TypeScript,,metadata,CLAUDE.md,898,25,25,0,1,0,1,1,0,1,1,0,0,0,0,0
apache/echarts,66950,TypeScript,apache-2.0,full,AGENTS.md,4545,83,9,0,0,1,1,1,0,0,0,0,0,0,0,1
scikit-learn/scikit-learn,66849,Python,bsd-3-clause,full,AGENTS.md,1317,29,4,0,0,0,0,0,0,0,0,0,0,0,0,1
ruvnet/ruflo,66757,TypeScript,mit,full,AGENTS.md,24566,708,89,35,1,0,0,0,1,1,0,1,1,0,1,1
ruvnet/ruflo,66757,TypeScript,mit,full,CLAUDE.md,66757,1494,167,42,1,0,0,1,1,1,0,1,1,1,1,1
xtekky/gpt4free,66515,Python,gpl-3.0,full,.github/copilot-instructions.md,6375,137,22,1,1,0,0,1,1,1,0,0,0,0,0,0
facebook/docusaurus,65779,TypeScript,mit,full,AGENTS.md,4134,82,10,0,1,1,1,1,1,0,1,0,0,0,0,0
cline/cline,65406,TypeScript,apache-2.0,full,AGENTS.md,5279,33,6,0,1,1,1,0,1,0,0,1,0,0,0,0
cline/cline,65406,TypeScript,apache-2.0,full,.github/copilot-instructions.md,3804,58,10,0,1,1,1,1,0,0,0,0,0,0,0,0
localstack/localstack,65146,Python,apache-2.0,full,AGENTS.md,7534,179,22,2,1,1,1,1,1,1,0,0,1,0,0,0
docling-project/docling,64096,Python,mit,full,AGENTS.md,3642,71,8,2,0,1,0,1,1,0,0,0,0,1,0,1
docling-project/docling,64096,Python,mit,full,CLAUDE.md,149,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0
shanraisshan/claude-code-best-practice,63852,HTML,mit,full,CLAUDE.md,7809,127,17,1,0,0,0,1,1,0,1,0,0,0,0,1
headroomlabs-ai/headroom,63841,Python,apache-2.0,full,.github/copilot-instructions.md,697,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Panniantong/Agent-Reach,63834,Python,mit,full,CLAUDE.md,2264,45,6,0,0,1,1,1,1,1,0,0,0,0,0,0
mem0ai/mem0,62262,Python,apache-2.0,full,AGENTS.md,29112,593,72,13,1,1,1,1,1,0,1,1,1,0,0,0
mem0ai/mem0,62262,Python,apache-2.0,full,CLAUDE.md,29112,593,72,13,1,1,1,1,1,0,1,1,1,0,0,0
withastro/astro,61442,TypeScript,mit,full,AGENTS.md,8903,166,15,1,0,1,1,1,1,0,0,0,1,1,1,0
microsoft/autogen,60154,Python,cc-by-4.0,full,.github/copilot-instructions.md,8858,226,29,8,1,0,0,1,1,1,0,0,1,0,0,0
